feats,Top,p.value,FDR,logFC,cluster,ranking,hgnc_symbol
ENST00000005340,24,1.79474962493513e-05,0.0103691659580627,-0.224895928094851,4,13589,DVL2
ENST00000008527,4,4.13638433170217e-10,1.43387762858456e-06,-0.403043059901286,5,13803,CRY1
ENST00000008876,542,0.00659014584180762,0.168252704914608,-0.0775452669781996,4,11528,MAPK8IP2
ENST00000008876,1413,0.00661024413453531,0.0648316163752241,-0.0744923037113413,5,10484,MAPK8IP2
ENST00000009041,112,1.00853018496676e-05,0.00124859638792403,-0.167354437196411,5,12798,STARD3NL
ENST00000009180,12,5.39889537951812e-05,0.0597160038735934,-0.1677458760956,3,13263,CD9
ENST00000013070,93,0.000268295304736502,0.0392824781293709,-0.166423506276447,4,13239,UBR7
ENST00000019103,178,0.00213525718098578,0.16633413523342,-0.161336081891004,3,13188,SCTR
ENST00000040584,144,0.00263587832376491,0.252141635286358,-0.162373205564496,2,13154,HOXC8
ENST00000040663,291,0.00470238824097975,0.223396209927456,-0.200976889109242,3,13513,MRI1
ENST00000054950,470,0.0094267409633776,0.278108915315306,-0.0800800219108458,3,11558,RCN1
ENST00000054950,1632,0.00951805685004404,0.080868490369308,-0.0687300975455291,5,10148,RCN1
ENST00000055335,649,0.00900384568896392,0.192368758587325,-0.101146378795785,4,12256,PPP1R3F
ENST00000064724,656,0.00911984831242268,0.19266360133857,-0.064402316003927,4,10936,CLDN11
ENST00000072516,1674,0.00999836418618658,0.0828179915207068,-0.07161775827945,5,10327,IL1RAP
ENST00000083182,46,9.54824845594025e-07,0.000284597581345745,-0.251901070273027,5,13445,APPBP2
ENST00000157600,682,0.00969006291829415,0.197012334934115,-0.0615622879180683,4,10770,LMCD1
ENST00000157600,1653,0.00971281798131679,0.0814748542824795,-0.0591385757953097,5,9551,LMCD1
ENST00000159111,2,4.00969166546647e-07,0.00205914063850284,-0.231131701825287,4,13607,KDM4B
ENST00000160298,415,0.000286565733964351,0.00956127368860305,-0.175967144447044,5,12904,CAMSAP3
ENST00000166345,269,0.00584816601736457,0.299905472167826,-0.0816338408069279,2,11526,TRIP13
ENST00000166345,1341,0.00594161832244929,0.0613864406009672,-0.068135331697121,5,10109,TRIP13
ENST00000168977,431,0.008416207740416,0.27046377174458,-0.0519301650092526,3,10076,NMRK2
ENST00000168977,1546,0.0085045586086686,0.0762769790865451,-0.0445699841417995,5,8348,NMRK2
ENST00000172229,82,0.00540418893663096,0.686962772407768,-0.0963975568660729,1,12522,NGFR
ENST00000172229,1305,0.00552802716637716,0.0587360122902879,-0.075903588083522,5,10533,NGFR
ENST00000175756,601,0.00806395700757556,0.185725856256604,-0.261221172411425,4,13699,PTPN18
ENST00000176763,1323,0.00577608441913683,0.0604640540290363,-0.0691036640835069,5,10165,STK10
ENST00000194214,994,0.00285578444377641,0.0398373310839071,-0.0966164436076444,5,11326,IFT25
ENST00000200135,218,0.00307590778763133,0.195644666895853,-0.0855552632099078,3,11754,ZW10
ENST00000203630,108,9.05708779494506e-06,0.00116282943856211,-0.187892538391644,5,13033,MLF2
ENST00000204726,324,0.00751573702967979,0.321645708807222,0.5172776148711,2,3,GOLGA3
ENST00000204726,169,0.00199451933360574,0.163645000472055,-0.378866616342717,3,13839,GOLGA3
ENST00000206423,384,0.00686119667210641,0.247019340614016,-0.150493708885944,3,13086,CCDC80
ENST00000206423,567,0.00705722096549561,0.172584525410162,-0.137154618523847,4,12903,CCDC80
ENST00000206595,696,0.00998042877491335,0.19883423188642,-0.125905114666118,4,12745,G2E3
ENST00000215115,97,0.000951923248845284,0.133541506619921,-0.162843406854572,3,13204,BCL7C
ENST00000215567,8,1.6740749624667e-06,0.00262381616903087,-0.219627070562754,4,13565,TECR
ENST00000215793,209,0.00438163862585594,0.289972765767841,-0.254909103666799,2,13658,SF3A1
ENST00000215956,929,0.00235048205225227,0.0350826524612809,-0.110352754715858,5,11736,SNU13
ENST00000216029,347,0.00829907406270454,0.331628129548879,-0.0658238322936064,2,10804,CBY1
ENST00000216029,616,0.00838288862908508,0.188409841807816,-0.0571911985501826,4,10508,CBY1
ENST00000216034,614,0.000761499313556817,0.0171969861266756,-0.125545879850007,5,12073,TOMM22
ENST00000216038,9,4.06902389964205e-05,0.0516119680802764,-0.186061974266496,2,13340,RTCB
ENST00000216068,1039,0.0031771090106844,0.0423823048306678,-0.106661036091549,5,11636,DNAL4
ENST00000216160,343,0.00288169171351834,0.116348584511129,-0.103003216561745,4,12308,TAB1
ENST00000216160,1000,0.0028957103897987,0.0401519202649488,-0.0989479718152198,5,11396,TAB1
