Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,Cluster
Negative Regulation Of Cellular Process (GO:0048523),18/537,6.59670372185697e-07,0.000981589513812317,0,0,4.46543352601156,63.5499313742746,COL18A1;IFITM1;BTG2;TACSTD2;CXCL1;ENO1;ACVR1B;SOD2;CLU;RTN4;WARS1;RHOB;GJA1;CLDN3;PPP2R1A;ADAMTS1;PLXNB2;TP53,1
Regulation Of Cell Adhesion (GO:0030155),9/144,3.62255041046338e-06,0.00269517750538476,0,0,8.25870020964361,103.467740154094,PPP1CB;PPP2R1A;TPM1;ERBB2;TNC;SAA1;PLXNB2;PRKCA;LAMC1,1
Cellular Component Assembly (GO:0022607),11/260,1.29706270100764e-05,0.00643343099699788,0,0,5.5102703808866,62.0060984778402,NCKAP1;PPP2R1A;TUBGCP2;SLC2A1;HES1;LAMC1;TP53;BBLN;AP2M1;RTN4;AIF1L,1
Positive Regulation Of Gene Expression (GO:0010628),14/480,5.62437206547992e-05,0.018010888703401,0,0,3.77799453765119,36.9707599835046,HDAC1;TNC;ARID1A;CLU;WARS1;GJA1;CDH3;CLDN3;ERBB2;ERP29;SAA1;PLXNB2;VIM;TP53,1
Negative Regulation Of Cell Migration (GO:0030336),8/163,7.22517197897894e-05,0.018010888703401,0,0,6.34741935483871,60.5248932511289,IFITM1;GJA1;CLIC4;CLDN3;HDAC1;TPM1;TACSTD2;RHOB,1
Regulation Of Cell Migration (GO:0030334),13/434,7.98653634624826e-05,0.018010888703401,0,0,3.86702934641024,36.4860726958036,IFITM1;CLIC4;MMP7;HDAC1;TPM1;TNC;PRKCA;ACTN4;SOD2;RHOB;CLDN3;PLXNB2;TMSB10,1
Protein-Containing Complex Organization (GO:0043933),7/126,9.50750342793841e-05,0.018010888703401,0,0,7.20241139934235,66.7004094273905,PPP2R1A;TUBGCP2;SLC2A1;HES1;LAMC1;TP53;AP2M1,1
Maintenance Of Blood-Brain Barrier (GO:0035633),4/29,9.68327349645217e-05,0.018010888703401,0,0,19.3239024390244,178.601660080736,GJA1;CLDN3;LSR;LAMC1,1
Positive Regulation Of Multicellular Organismal Process (GO:0051240),12/387,0.000109311123363525,0.0180727723961028,0,0,3.99117948717949,36.4047949424529,SMARCE1;GJA1;MUC1;HDAC1;LCN2;SPP1;SAA1;PRKCA;ENO1;ARID1A;ACVR1B;RTN4,1
Negative Regulation Of Cell Motility (GO:2000146),7/133,0.000133378993898426,0.0198467942920858,0,0,6.79986197377502,60.6705166330076,IFITM1;CLIC4;CLDN3;HDAC1;TPM1;TACSTD2;RHOB,1
Regulation Of Cell Population Proliferation (GO:0042127),17/766,0.000255932862471032,0.0345681061795889,0,0,2.86838079912289,23.7232170537241,COL18A1;IFITM1;BTG2;JUP;HDAC1;HMGB2;CXCL1;SOD2;CLU;WARS1;KITLG;CLDN3;ADAMTS1;EPCAM;ERBB2;HES1;TP53,1
Regulation Of Stem Cell Proliferation (GO:0072091),3/16,0.000300825881419863,0.0345681061795889,0,0,27.7188811188811,224.771822890645,GJA1;EPCAM;HMGB2,1
Positive Regulation Of Pattern Recognition Receptor Signaling Pathway (GO:0062208),4/39,0.000314122750666263,0.0345681061795889,0,0,13.795818815331,111.273304481154,CYBA;PUM1;RTN4;LTF,1
Cell-Cell Junction Assembly (GO:0007043),5/71,0.000327907728485556,0.0345681061795889,0,0,9.18665179401376,73.7024707063026,GJA1;CDH3;JUP;CTNNA1;PRKCA,1
Regulation Of Angiogenesis (GO:0045765),8/205,0.000348468812294243,0.0345681061795889,0,0,4.98350253807107,39.6784569531099,COL4A2;JUP;ADAMTS1;ERBB2;PRKCA;HSPG2;WARS1;RHOB,1
Negative Regulation Of Amyloid Precursor Protein Catabolic Process (GO:1902992),3/18,0.000432966487331847,0.0394803180334954,0,0,24.0206060606061,186.035996359275,FLOT2;CLU;RTN4,1
Protein-Containing Complex Assembly (GO:0065003),10/328,0.000469558227546067,0.0394803180334954,0,0,3.88384682748189,29.7647077990577,GAK;PPP2R1A;TUBGCP2;SLC2A1;CYBA;HES1;LAMC1;CLU;TP53;AP2M1,1
Regulation Of Stem Cell Differentiation (GO:2000736),4/45,0.000547184906520704,0.0394803180334954,0,0,11.7733491969066,88.426373726339,HDAC1;TACSTD2;HES1;ZFP36L2,1
Regulation Of mRNA Catabolic Process (GO:0061013),4/46,0.000595405033648868,0.0394803180334954,0,0,11.4924506387921,85.3460259501547,PRKCA;VIM;PUM1;ZFP36L2,1
