feats,Top,p.value,FDR,logFC,cluster,ranking,hgnc_symbol
ENST00000000233,,,,,5,1,ARF5
ENST00000001008,,,,,5,2,FKBP4
ENST00000002596,,,,,5,3,HS3ST1
ENST00000002829,,,,,5,4,SEMA3F
ENST00000003084,,,,,5,5,CFTR
ENST00000003100,,,,,5,6,CYP51A1
ENST00000004531,,,,,5,7,SLC7A2
ENST00000005178,,,,,5,8,PDK4
ENST00000005257,,,,,5,9,RALA
ENST00000005259,,,,,5,10,BCAP29
ENST00000005386,67,0.00310053152179026,0.589817875373778,-0.204886720987677,1,13093,RPAP3
ENST00000006275,153,0.00472282766052831,0.403095486915274,-0.0922541967206294,2,11836,TRAPPC6A
ENST00000007390,371,0.00540052394094977,0.192883335184768,-0.242915410613228,4,13061,TSR3
ENST00000020926,319,0.00893948597666772,0.361891377693218,-0.110627391477626,3,12118,SYT13
ENST00000025008,218,0.00525862629555102,0.314476552035511,-0.202277006779942,3,12998,RB1CC1
ENST00000038176,498,0.00854033067293919,0.227450613885929,-0.0578033843180045,4,10217,NSMAF
ENST00000155840,524,0.00927282996869953,0.234554275118134,-0.0816721183961387,4,11327,KCNQ1
ENST00000157812,23,0.000405568604834051,0.233872017648436,-0.168597234438513,2,12880,PSMC4
ENST00000162330,493,0.00842518425393773,0.226659672941128,-0.0667409818839802,4,10733,BCAR1
ENST00000168216,331,0.00474130839451571,0.189459580378439,-0.422297634680578,4,13242,HSD17B10
ENST00000171111,142,0.00136367796010301,0.126034148143376,-0.325570787653205,4,13198,KEAP1
ENST00000172229,88,0.000680586761231727,0.102323430851008,-0.151026482272043,4,12602,NGFR
ENST00000174618,317,0.00453032215990238,0.188939025402814,-0.070771207950175,4,10901,MNT
ENST00000184266,439,0.00698222712420536,0.210945964347006,-0.535883559999606,4,13261,NDUFB4
ENST00000199280,185,0.00601186679103843,0.431002104051582,-0.10340835712786,2,12112,AQP2
ENST00000200457,235,0.00786610010776443,0.439296589525128,-0.287989317815432,2,13208,TRIP6
ENST00000202017,180,0.00200731673924282,0.143154107193914,-0.247763375300932,4,13072,PDRG1
ENST00000202834,136,0.00699779428862917,0.676211126177819,-0.132179613884243,1,12713,TMEM230
ENST00000203630,172,0.00927381745966414,0.702568924031077,-0.247327752470798,1,13178,MLF2
ENST00000204549,168,0.00184512068911004,0.143154107193914,-0.137458599711036,4,12450,PDCD7
ENST00000206020,59,0.00169470624641023,0.366817198534974,-0.338473795315584,2,13235,SPAG7
ENST00000206595,73,0.00130553873803995,0.229157523462267,-0.161061093369108,3,12750,G2E3
ENST00000210313,88,0.00412637138232448,0.616402119965939,-0.169632106770422,1,12967,PSMD5
ENST00000211314,65,0.000435321311500294,0.0874767052169189,-0.242683176619268,4,13060,TMEM14A
ENST00000215567,155,0.00150287681514314,0.12859777547899,-0.113228619363513,4,12101,TECR
ENST00000215574,372,0.00540998271045267,0.192883335184768,-0.0934584902945995,4,11665,CDC34
ENST00000215582,9,0.000140768488987224,0.189182316776686,-0.241309505720779,3,13115,MISP
ENST00000215793,7,1.12275932171298e-05,0.0212730812626846,-0.300705379600131,4,13169,SF3A1
ENST00000215829,435,0.0125931911778081,0.381134938557161,0.485700349272933,3,9,SNRPD3
ENST00000216124,216,0.00524569129803531,0.314476552035511,-0.167664572952491,3,12803,ARSA
ENST00000216442,257,0.00646055249582065,0.332548626318611,0.490067826190316,3,8,ATP6V1D
ENST00000216487,358,0.00516448940986874,0.189597828068228,-0.0847235609295102,4,11420,RIN3
ENST00000217446,204,0.00223510132803088,0.143789454841557,-0.100569050994626,4,11849,PIGU
ENST00000218516,328,0.00467254771410111,0.188939025402814,-0.10361471822673,4,11920,GLA
ENST00000219169,18,0.000352810532561696,0.197092927318442,-0.191470791462459,3,12950,NUTF2
ENST00000219400,350,0.00502951240664344,0.189597828068228,-0.214217460339328,4,12993,CMC2
ENST00000220003,49,0.00231016156589242,0.585527649346247,-0.113680803208132,1,12509,CSK
ENST00000220772,51,0.00232801644695892,0.585527649346247,-0.191209882760431,1,13051,SFRP1
ENST00000221233,177,0.00400550582205591,0.298951956384814,-0.0978226085224967,3,11851,EXOSC5
ENST00000221431,94,0.000758270169425076,0.105718187916009,-0.116013621859505,4,12148,SARS2
ENST00000221770,309,0.00436599253136052,0.186945223011815,-0.130215400080081,4,12367,POP4
ENST00000221859,202,0.00681026613234916,0.439296589525128,-0.408436651288474,2,13257,POLR2I
ENST00000222005,53,0.00030221436474821,0.0756277192387831,-0.2623622538869,4,13111,CDC37
ENST00000222345,143,0.0073250510591559,0.676211126177819,-0.204710045731721,1,13091,SIPA1L3
ENST00000222673,161,0.00168456120827209,0.138772268977098,-0.173084644683194,4,12779,OGDH
ENST00000223129,237,0.00286869505719231,0.160183610128075,-0.349533093875649,4,13216,RPA3
ENST00000223210,477,0.00794831391919548,0.220666446818967,-0.102460185784974,4,11895,ZNF862
ENST00000225235,360,0.00993665020158348,0.361891377693218,-0.0830404315813312,3,11462,TBC1D12
ENST00000225298,463,0.00748008458907899,0.214272919881111,-0.0592312434359812,4,10304,UTP18
ENST00000225308,304,0.00420969156570501,0.182935226303234,-0.0726175504321949,4,10993,SLC25A39
ENST00000225519,497,0.00852933741095547,0.227450613885929,-0.0806229097274319,4,11295,SHPK
ENST00000229195,50,0.000798272231158309,0.197092927318442,-0.154930602097899,3,12691,CNOT2
ENST00000229329,164,0.00876636808244334,0.700861988439462,-0.0726314664140195,1,11578,CMAS
ENST00000229903,278,0.00704327114695869,0.335212940613195,-0.202217205870895,3,12997,SAYSD1
ENST00000230538,212,0.00709733206045195,0.439296589525128,-0.172622592670587,2,12900,LAMA4
ENST00000232978,228,0.00757489990476717,0.439296589525128,-0.139493341782063,2,12655,NKTR
ENST00000233190,118,0.00614626003409629,0.676211126177819,-0.267705428268251,1,13203,NDUFS1
ENST00000236698,91,0.000707661788021107,0.102323430851008,-0.152953080873997,4,12625,STAG1
ENST00000238146,183,0.00202938574549077,0.143154107193914,-0.098904826918095,4,11810,DDX55
ENST00000238961,215,0.00523656895530955,0.314476552035511,-0.0772078568524944,3,11234,SLF2
ENST00000239165,5,5.65994948524857e-05,0.134568334449699,-0.320309993934824,3,13222,HOXB7
ENST00000239938,115,0.00241215799840884,0.278195230720838,-0.292643950492274,3,13202,EGR1
ENST00000240079,50,0.000286921579872703,0.0756277192387831,-0.126792923274016,4,12310,WASHC3
ENST00000240123,141,0.00426026899271534,0.400737217378607,-0.166785584622985,2,12873,SORBS3
ENST00000240364,288,0.00986901579073805,0.450151635684048,-0.0859083906085077,2,11667,FAM117A
ENST00000241502,116,0.00338522085765379,0.384565930609367,-0.196947161046145,2,13029,FYTTD1
ENST00000242783,181,0.00563173265016058,0.412672210713148,-0.0720214138851994,2,11203,PKN1
ENST00000243578,186,0.00436496040533194,0.310695581684276,-0.150155824757232,3,12659,B9D2
ENST00000243706,331,0.00932988783528886,0.361891377693218,-0.0676482043922998,3,10814,HAUS3
ENST00000244217,453,0.00731723203462308,0.213738864472024,-0.0651704309358494,4,10653,MCEE
ENST00000244930,489,0.00833654501490921,0.225776475999487,-0.0887712853301488,4,11542,SCGB2A1
ENST00000245451,150,0.00771812564223859,0.676211126177819,-0.0763828768892908,1,11715,BMP4
ENST00000246151,313,0.00862217338491815,0.361891377693218,-0.0819292199449847,3,11418,PITHD1
ENST00000246229,495,0.00847346724212519,0.226843074159455,-0.10438524531212,4,11928,PLAGL2
ENST00000248342,62,0.00291030012575275,0.589817875373778,-0.352915797113696,1,13249,EIF3K
ENST00000248451,486,0.0081428370033821,0.222219027110816,-0.091839154480633,4,11625,PNKD
ENST00000248958,28,0.00136733438100986,0.563213063459584,-0.226965649168284,1,13141,SDF2L1
ENST00000249344,212,0.00515949676109631,0.314476552035511,-0.0798520729473684,3,11339,STRIP2
ENST00000251038,22,0.00109128714347425,0.563213063459584,0.528496885857694,1,4,ZC3H14
ENST00000251038,25,0.000496829141836826,0.24502682514644,-0.30362563907204,2,13217,ZC3H14
ENST00000251287,93,0.0043530032993496,0.617658631771488,-0.110818808778347,1,12476,HCN2
ENST00000251287,312,0.00441522084433914,0.187689339930994,-0.0966340012547185,4,11748,HCN2
ENST00000251527,290,0.00398208959898531,0.181055969523023,-0.276644918340046,4,13135,ESYT2
ENST00000252032,88,0.00270637989234674,0.384565930609367,-0.107859349691206,2,12191,DNAAF9
ENST00000252530,351,0.00977681022869921,0.361891377693218,-0.0739675990224345,3,11100,FAM98C
ENST00000252979,17,0.00031614350400213,0.197092927318442,-0.188323234270117,3,12933,ZNF337
ENST00000253788,191,0.00208180072221952,0.143154107193914,-0.694378739001174,4,13263,RPL27
ENST00000254250,11,0.000239814980372513,0.219796784955403,-0.168889404891177,2,12882,THAP1
ENST00000254480,11,0.000187370157848697,0.197092927318442,-0.213850568929208,3,13039,SMARCC1
ENST00000254942,55,0.00159445054162522,0.366817198534974,-0.144706255038899,2,12702,TERF2
ENST00000254950,280,0.00710857913898823,0.335212940613195,-0.084198543597491,3,11496,VPS4A
ENST00000255390,27,0.00050871121556831,0.24502682514644,-0.236439870546924,2,13123,SCO1
ENST00000256497,58,0.000372508188921223,0.0829252960948658,-0.17545467733468,4,12796,EDEM1
ENST00000256733,121,0.00107679759808251,0.117483141266091,-0.316897269532506,4,13188,SAA2
ENST00000257013,803,0.0176825851285652,0.291890258830165,0.496345571535685,4,8,RTL8C
ENST00000257181,31,0.000119562928273485,0.0503182234635966,-0.158517354388701,4,12677,PRPF38A
ENST00000257247,291,0.00768693320783321,0.350349811462171,-0.0901916144416688,3,11657,AHNAK
ENST00000257264,75,0.00215741788680946,0.381517779103385,-0.147528317642262,2,12733,TCN1
ENST00000258083,148,0.00761121238278133,0.676211126177819,-0.193377069892395,1,13055,PRADC1
ENST00000258243,412,0.00628175738214257,0.202220747959604,-0.084081392679955,4,11405,URB2
ENST00000258648,465,0.00753470423440961,0.214909209163386,-0.218186696414084,4,13007,MED4
ENST00000258739,526,0.00932581960910877,0.234554275118134,-0.384013450247272,4,13232,KDELR2
ENST00000258772,55,0.000844959848624246,0.197092927318442,-0.26493016829214,3,13159,DDX56
ENST00000258955,529,0.00936891496292781,0.234554275118134,-0.105053897323342,4,11942,RSAD1
ENST00000259037,480,0.00799512335600792,0.220915252230694,-0.127277929212238,4,12316,NDUFB5
ENST00000259667,271,0.00913971799091301,0.446180202062386,0.303017460317922,2,74,HINT2
ENST00000260327,427,0.00663293248906933,0.205723746052826,-0.0647687391374299,4,10634,CTDSPL2
ENST00000260359,84,0.00255471366777207,0.384565930609367,-0.0969137048606446,2,11960,NUSAP1
ENST00000260970,506,0.00869898923184303,0.228013229608566,-0.10833434478419,4,12015,PPIG
ENST00000261167,56,0.00250337429380032,0.589817875373778,-0.165018816287047,1,12940,WBP11
ENST00000261250,89,0.000691657363997133,0.102323430851008,-0.194501318693693,4,12911,FERRY3
ENST00000261435,176,0.00949062317872014,0.702568924031077,-0.124496695572702,1,12634,N4BP2
ENST00000261464,180,0.00562060281043903,0.412672210713148,-0.093707754765335,2,11882,TRAF5
ENST00000261537,90,0.000699122672760476,0.102323430851008,-0.273101480271549,4,13126,MIB1
ENST00000261558,168,0.00521336087358095,0.407337234845665,0.493992778843645,2,8,AP5M1
ENST00000261558,65,0.00114544499124632,0.226927557786025,-0.382451078792851,3,13241,AP5M1
ENST00000261622,273,0.00365532586116752,0.176878813067436,-0.105892564520996,4,11959,SLC7A5
ENST00000261733,719,0.0155506164329232,0.286853721487983,0.479002588686126,4,9,ALDH2
ENST00000261800,292,0.0099863751043582,0.450151635684048,-0.0705175003682527,2,11146,FAT2
ENST00000261867,333,0.00935173945423172,0.361891377693218,-0.086753442936964,3,11564,SLC30A4
ENST00000261867,531,0.00940039244123781,0.234713768401324,-0.0798131675020069,4,11267,SLC30A4
ENST00000262259,182,0.00201338745330808,0.143154107193914,-0.133052253402726,4,12393,ZNF175
ENST00000262302,98,0.00473604645832569,0.629083702481055,-0.104519063794997,1,12384,NUBP2
ENST00000262376,516,0.00901605869991234,0.231703941405275,-0.0616428910288171,4,10450,UBN1
ENST00000262457,168,0.00383014119491889,0.295243085785801,-0.0732232764918278,3,11066,INVS
ENST00000262506,74,0.00331618045926562,0.589817875373778,-0.179633510330432,1,13006,CSNK2A2
ENST00000262507,208,0.00225663217661782,0.143892848838856,-0.121077456632727,4,12223,COQ9
ENST00000262646,72,0.00203204728764861,0.374320044112272,0.564728746685619,2,2,RAB2A
ENST00000262648,132,0.00404653638600414,0.400546419923534,-0.170680363644322,2,12890,ANOS1
ENST00000262713,80,0.00236569324133206,0.384565930609367,-0.125560950874748,2,12493,AJUBA
ENST00000262844,224,0.0025338889402723,0.150031111673355,-0.122052931699544,4,12238,AMMECR1
ENST00000262971,68,0.000451095235760068,0.0874767052169189,-0.158812992559414,4,12682,PIAS4
ENST00000263212,48,0.00108195342339162,0.298957255300896,-0.126225333327545,2,12500,PPM1F
ENST00000263275,26,0.00133686682523662,0.563213063459584,-0.119861016046896,1,12586,OPA3
ENST00000263277,193,0.00211320335154733,0.143154107193914,-0.122919788683552,4,12263,EHD2
ENST00000263372,287,0.00395156077610221,0.181055969523023,-0.110230081166587,4,12056,KCNK6
ENST00000263382,496,0.00848331182862774,0.226843074159455,-0.107702554373689,4,12000,ASF1B
ENST00000263857,94,0.00180224229332499,0.249508764813909,-0.141900312717185,3,12568,POLR1A
ENST00000263881,197,0.0021349562435505,0.143154107193914,-0.19906492282622,4,12933,MAP4K3
ENST00000264192,282,0.00386626725713514,0.180684427121732,-0.142638984859502,4,12512,CYTIP
ENST00000264316,115,0.000951382258735686,0.109723329544447,-0.128666109318299,4,12333,TXK
ENST00000264866,189,0.00207244643113433,0.143154107193914,-0.0835150299942546,4,11375,TBC1D19
ENST00000264933,165,0.00512066708786378,0.407337234845665,-0.173452998093482,2,12909,PDCD6
ENST00000264956,338,0.00947371623676926,0.361891377693218,-0.0716371733187279,3,11000,EVC
ENST00000264963,311,0.00438362092714124,0.186945223011815,-0.144356003885829,4,12532,LMAN2L
ENST00000265018,104,0.000850273029880155,0.106787075352095,-0.114662475550561,4,12123,FAM184B
ENST00000265149,37,0.000591201524419013,0.197092927318442,-0.12953848821388,3,12420,TET2
ENST00000265261,134,0.00124322341009969,0.123051284239942,-0.103229969216848,4,11911,ST3GAL6
ENST00000265565,25,0.00132880009428473,0.563213063459584,-0.141514225417587,1,12790,SCAP
ENST00000265713,26,9.37149326739349e-05,0.0463141479575889,-0.254046706404329,4,13090,KAT6A
ENST00000265800,133,0.0030409344521659,0.295243085785801,-0.0942788586522364,3,11766,DMTN
ENST00000265807,5,1.60949101501259e-06,0.00395767307301311,-0.35599357710814,4,13220,SH2D4A
ENST00000265990,69,0.001192040820786,0.229130976899778,-0.0928584492353198,3,11729,BTAF1
